timestamp,players
datetime,int
T,
11/24/2015 18:40:04,638
11/24/2015 18:40:06,638
11/24/2015 18:40:07,638
11/24/2015 18:40:08,637
11/24/2015 18:40:09,633
11/24/2015 18:40:11,636
11/24/2015 18:40:12,633
11/24/2015 18:40:13,634
11/24/2015 18:40:15,634
11/24/2015 18:40:16,636
11/24/2015 18:40:18,636
11/24/2015 18:40:19,637
11/24/2015 18:40:20,634
11/24/2015 18:40:22,634
11/24/2015 18:40:23,632
11/24/2015 18:40:24,636
11/24/2015 18:40:25,633
11/24/2015 18:40:27,633
11/24/2015 18:40:28,635
11/24/2015 18:40:29,636
11/24/2015 18:40:31,636
11/24/2015 18:40:32,636
11/24/2015 18:40:33,636
11/24/2015 18:40:35,634
11/24/2015 18:40:36,632
11/24/2015 18:40:37,634
11/24/2015 18:40:39,634
11/24/2015 18:40:40,637
11/24/2015 18:40:41,637
11/24/2015 18:40:42,636
11/24/2015 18:40:44,636
11/24/2015 18:40:45,638
11/24/2015 18:40:46,639
11/24/2015 18:40:48,636
11/24/2015 18:40:49,637
11/24/2015 18:40:50,636
11/24/2015 18:40:51,636
11/24/2015 18:40:53,636
11/24/2015 18:40:54,637
11/24/2015 18:40:55,637
11/24/2015 18:40:57,633
11/24/2015 18:40:58,633
11/24/2015 18:41:00,636
11/24/2015 18:41:01,634
11/24/2015 18:41:02,635
11/24/2015 18:41:04,635
11/24/2015 18:41:05,639
11/24/2015 18:41:06,640
11/24/2015 18:41:07,640
11/24/2015 18:41:09,639
11/24/2015 18:41:10,638
11/24/2015 18:41:11,636
11/24/2015 18:41:12,639
11/24/2015 18:41:14,639
11/24/2015 18:41:16,635
11/24/2015 18:41:17,636
11/24/2015 18:41:20,637
11/24/2015 18:41:22,636
11/24/2015 18:41:24,634
11/24/2015 18:41:25,635
11/24/2015 18:41:26,636
11/24/2015 18:41:28,637
11/24/2015 18:41:29,633
11/24/2015 18:41:30,637
11/24/2015 18:41:32,637
11/24/2015 18:41:33,636
11/24/2015 18:41:35,639
11/24/2015 18:41:36,638
11/24/2015 18:41:37,638
11/24/2015 18:41:39,638
11/24/2015 18:41:40,632
11/24/2015 18:41:41,634
11/24/2015 18:41:43,636
11/24/2015 18:41:44,635
11/24/2015 18:41:46,638
11/24/2015 18:41:47,638
11/24/2015 18:41:48,637
11/24/2015 18:41:50,637
11/24/2015 18:41:51,639
11/24/2015 18:41:53,640
11/24/2015 18:41:54,640
11/24/2015 18:41:55,637
11/24/2015 18:41:57,637
11/24/2015 18:41:58,637
11/24/2015 18:42:00,642
11/24/2015 18:42:01,641
11/24/2015 18:42:02,641
11/24/2015 18:42:04,642
11/24/2015 18:42:05,643
11/24/2015 18:42:06,643
11/24/2015 18:42:08,638
11/24/2015 18:42:09,638
11/24/2015 18:42:11,645
11/24/2015 18:42:12,643
11/24/2015 18:42:14,644
11/24/2015 18:42:15,643
11/24/2015 18:42:16,645
11/24/2015 18:42:17,645
11/24/2015 18:42:19,645
11/24/2015 18:42:21,645
