isUnusual,score
string,float
,
True,1.0
True,1.0
True,1.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,1.0
True,1.0
True,1.0
True,1.0
True,1.0
True,1.0
True,1.0
True,1.0
True,1.0
True,1.0
True,1.0
True,1.0
True,1.0
True,1.0
True,1.0
True,1.0
True,0.52500000000000002
True,1.0
True,0.47499999999999998
True,1.0
True,0.42499999999999999
True,1.0
True,0.42499999999999999
True,0.42499999999999999
True,0.40000000000000002
True,0.375
True,0.375
True,0.32500000000000001
True,0.32500000000000001
True,0.29999999999999999
True,0.29999999999999999
True,0.27500000000000002
True,0.27500000000000002
True,0.20000000000000001
True,0.20000000000000001
False,1.0
True,1.0
True,0.17499999999999999
True,0.17499999999999999
True,0.17499999999999999
True,0.17499999999999999
True,0.17499999999999999
True,0.17499999999999999
True,0.10000000000000001
True,0.10000000000000001
False,1.0
True,1.0
True,0.125
True,0.17499999999999999
True,0.125
True,0.10000000000000001
True,0.10000000000000001
True,0.10000000000000001
True,0.10000000000000001
True,0.050000000000000003
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.025000000000000001
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
False,1.0
True,1.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
False,1.0
True,1.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
False,1.0
True,1.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
False,1.0
False,1.0
True,1.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
True,0.0
