isReset,score
string,float
,
False,1.0
True,1.0
False,1.0
False,1.0
False,1.0
False,1.0
True,1.0
False,1.0
False,1.0
False,1.0
False,1.0
True,0.074999999999999997
False,0.050000000000000003
False,0.074999999999999997
False,0.074999999999999997
False,0.050000000000000003
True,0.050000000000000003
False,0.050000000000000003
False,0.10000000000000001
False,0.025000000000000001
False,0.074999999999999997
True,0.074999999999999997
False,0.025000000000000001
False,0.125
False,0.050000000000000003
False,0.074999999999999997
True,0.025000000000000001
False,0.10000000000000001
False,0.050000000000000003
False,0.025000000000000001
False,0.025000000000000001
True,0.074999999999999997
False,0.025000000000000001
False,0.050000000000000003
False,0.025000000000000001
False,0.050000000000000003
True,0.074999999999999997
False,0.050000000000000003
False,0.025000000000000001
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.074999999999999997
False,0.050000000000000003
True,0.025000000000000001
False,0.025000000000000001
False,0.0
False,0.0
False,0.025000000000000001
True,1.0
False,1.0
False,1.0
False,1.0
False,1.0
True,1.0
False,1.0
False,1.0
False,1.0
False,1.0
True,1.0
False,1.0
False,1.0
False,1.0
False,1.0
True,1.0
False,1.0
False,1.0
False,1.0
False,1.0
True,1.0
False,1.0
False,1.0
False,1.0
False,1.0
True,1.0
False,1.0
False,1.0
False,1.0
False,1.0
True,1.0
False,1.0
False,1.0
False,1.0
False,1.0
True,1.0
False,1.0
False,1.0
False,0.97499999999999998
False,0.57499999999999996
True,0.94999999999999996
False,0.45000000000000001
False,0.92500000000000004
False,0.45000000000000001
False,0.77500000000000002
True,0.27500000000000002
False,0.29999999999999999
False,0.45000000000000001
False,0.69999999999999996
False,0.29999999999999999
True,0.34999999999999998
False,0.14999999999999999
False,0.20000000000000001
False,0.29999999999999999
False,0.25
True,0.20000000000000001
False,0.17499999999999999
False,0.17499999999999999
False,0.14999999999999999
False,0.074999999999999997
True,0.10000000000000001
False,0.22500000000000001
False,0.074999999999999997
False,0.074999999999999997
False,0.074999999999999997
True,0.125
False,0.025000000000000001
False,0.0
False,0.025000000000000001
False,0.0
True,0.025000000000000001
False,0.0
False,0.025000000000000001
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
False,0.0
False,0.0
False,0.0
True,0.0
False,0.0
True,0.0
False,0.0
False,0.0
True,1.0
False,0.0
True,0.0
False,1.0
